Year,RecPR,RecPC,RecDD,ComHL,ComTrawl,ComNet,Total
2007,14.236919,118.866819,2.89,1.896925547,1.477805699,0.211827889,139.5802971
2008,8.377598,89.654396,2.248,2.463463091,0.864094492,0.278506046,103.8860576
2009,14.681142,93.162891,2.09,2.970126371,0.272609339,0.133809908,113.3105786
2010,8.070675,92.547883,2.029,2.992806016,0.183705128,0.143788952,105.9678581
2011,6.837095,91.17554,2.663,3.241828524,1.053242736,0.241765021,105.2124713
2012,6.21606,107.627062,2.338,3.219602471,0.425923742,0.17780842,120.0044566
2013,8.181168,101.314314,2.943,1.729549764,0.829621431,0.137438652,115.1350918
2014,5.876268,113.828023,2.927,1.025119975,0.128366793,0.036287433,123.8210652
2015,4.153463,73.777225,3.587,2.211265433,0.125645236,0.034473061,83.88907173
2016,3.856902,64.558034,3.294,2.316952581,0.131088351,0.003628743,74.16060568
