Year,N measured,N trips,Mean length,Source
1980,212,45,26.79,MRFSS
1981,187,59,28.36,MRFSS
1982,277,91,27.1,MRFSS
1983,318,113,28.3,MRFSS
1984,472,99,29.18,CDFW unpublished
1985,1089,285,28.45,Ally et al. (1991)
1986,955,266,28.02,Ally et al. (1991)
1987,1500,241,26.89,Ally et al. (1991)
1988,3358,289,26.81,CDFW unpublished
1989,4518,326,26.3,CDFW unpublished
1993,233,62,28.63,MRFSS
1994,201,74,27.82,MRFSS
1995,196,50,27.72,MRFSS
1996,698,82,25.54,MRFSS
1997,373,49,25.09,MRFSS
1998,656,89,28.38,MRFSS
1999,2057,136,27.1,MRFSS
2000,875,87,28.73,MRFSS
2001,479,79,29.82,MRFSS
2002,816,102,29.12,MRFSS
2003,1026,99,28.79,MRFSS
2004,1497,174,28.45,CRFS
2005,1493,163,28.31,CRFS
2006,3054,193,28.58,CRFS
2007,4143,255,28.22,CRFS
2008,4971,328,28.08,CRFS
2009,4118,303,28.36,CRFS
2010,4773,291,28.1,CRFS
2011,2763,265,28.63,CRFS
2012,3440,75,28.47,CRFS
2013,3299,119,28.42,CRFS
2014,2564,82,28.12,CRFS
2015,1734,168,28.33,CRFS
2016,1922,151,28.5,CRFS
