Year,Hook-and-line,Other,Fish Pot,Gill net,Trawl,Mexico,Northern CA,Source
1916,3.635,0,0,0,0,0,0,CEO
1917,7.904,0,0,0,0,0,0,CEO
1918,12.808,0,0,0,0,0,0,CEO
1919,11.536,0,0,0,0,0,0,CEO
1920,16.181,0,0,0,0,0,0,CEO
1921,26.481,0,0,0,0,0,0,CEO
1922,19.106,0,0,0,0,0,0,CEO
1923,27.427,0,0,0,0,0,0,CEO
1924,49.473,0,0,0,0,0,0,CEO
1925,101.198,0,0,0,0,0,0,CEO
1926,49.019,0,0,0,0,0,0,CEO
1927,51.463,0,0,0,0,0,0.341,CEO
1928,44.036,0,0,0,0,0,1.192,CEO
1929,48.896,0,0,0,0,0,0.542,CEO
1930,40.193,0,0,0,0,0,0,CEO
1931,41.537,0,0,0,0,0.052,0,CEO
1932,38.784,0,0,0,0,0,0,CEO
1933,29.103,0,0,0,0,0,0,CEO
1934,29.909,0,0,0,0,0,0,CEO
1935,30.757,0,0,0,0,0.79,0,CEO
1936,49.746,0,0,0,0,0.338,0.036,CEO
1937,62.194,0,0,0,0,0.09,0,CEO
1938,70.434,0,0,0,0,0.048,0,CEO
1939,58.287,0,0,0,0,0.058,0,CEO
1940,55.371,0,0,0,0,0.028,0,CEO
1941,43.073,0,0,0,0,0.144,0,CEO
1942,20,0,0,0,0,0.109,0,CEO
1943,16.322,0,0,0,0,2.979,0,CEO
1944,24.032,0,0,0,0,1.945,0,CEO
1945,42.126,0,0,0,0,0.81,0,CEO
1946,65.631,0,0,0,0,0.165,0,CEO
1947,56.792,0,0,0,0,0.836,0,CEO
1948,70.165,0,0,0,0,0.176,0,CEO
1949,66.716,0,0,0,0,0.582,0,CEO
1950,63.162,0,0,0,0,0.125,0,CEO
1951,45.852,0,0,0,0,0.159,0,CEO
1952,37.925,0,0,0,0,0,0,CEO
1953,54.167,0,0,0,0,0.054,0,CEO
1954,60.916,0,0,0,0,0,0,CEO
1955,47.706,0,0,0,0,1.293,0,CEO
1956,45.465,0,0,0,0,0,0,CEO
1957,33.234,0,0,0,0,0,0,CEO
1958,29.425,0,0,0,0,0,0,CEO
1959,16.938,0,0,0,0,0,0,CEO
1960,13.246,0,0,0,0,0,0,CEO
1961,12.119,0,0,0,0,0,0,CEO
1962,26.175,0,0,0,0,0.111,0,CEO
1963,34.114,0,0,0,0,0.142,0,CEO
1964,35.192,0,0,0,0,7.548,0,CEO
1965,34.781,0,0,0,0,2.748,0,CEO
1966,38.313,0,0,0,0,10.902,0,CEO
1967,25.422,0,0,0,0,12.071,0,CEO
1968,40.602,0,0,0,0,16.176,0,CEO
1969,30.336,2.763,0.184,0.095,0.281,0.281,0,CFIS
1970,32.922,1.388,0.142,0.164,0.108,0,0,CFIS
1971,14.598,3.157,0.003,0.626,0.172,0,0,CFIS
1972,11.988,15.83,0.019,0.13,0.024,0.108,0,CFIS
1973,14.18,2.396,0.22,0.238,0.064,0.172,0,CFIS
1974,15.742,22.147,0.055,0.056,0.003,0,0,CFIS
1975,26.811,15.036,0.105,3.033,0.003,0.024,0.024,CFIS
1976,12.397,2.939,0.078,0.013,0,0.064,0.001,CFIS
1977,4.784,0.924,0.038,0.133,0.006,0,0,CFIS
1978,8.63,0.269,0.088,1.261,0,0.003,0.427,CFIS
1979,8.247,0.127,0.023,0.969,0,0.003,0.048,CFIS
1980,12.796,1.641,0.029,0.562,0.15,0,0.076,CFIS
1981,15.122,0.317,0.042,5.926,0.024,0.006,0.013,CFIS
1982,17.262,0.27,0.413,1.341,0.023,0,0.468,CFIS
1983,9.549,1.231,0.13,0.833,0.112,0,0.33,CFIS
1984,8.496,1.153,0.242,1.066,0.003,0.15,0.32,CFIS
1985,9.904,2.36,0.467,2.484,0.021,0.024,1.097,CFIS
1986,3.202,1.32,0.235,1.763,0.778,0.023,0.619,CFIS
1987,5.33,1.813,0.317,3.986,4.8,0.112,1.477,CFIS
1988,5.451,1.766,0.554,3.649,3.94,0.003,2.071,CFIS
1989,13.632,2.203,0.038,2.8,7.76,0.021,0.527,CFIS
1990,29.53,1.517,1.021,6.165,13.085,0.778,0.046,CFIS
1991,18.279,1.084,0.753,3.287,16.205,4.8,0.694,CFIS
1992,20.195,5.996,1.522,3.33,12.967,3.94,0.052,CFIS
1993,11.136,1.222,1.36,4.66,13.276,7.76,0.29,CFIS
1994,26.238,1.277,7.336,1.921,16.796,13.085,1.408,CFIS
1995,19.331,1.238,3.124,0.976,6.563,16.205,0.123,CFIS
1996,18.404,0.001,1.766,1.192,4.57,12.967,0.401,CFIS
1997,18.375,0.089,1.753,3.817,2.975,13.276,0.503,CFIS
1998,29.084,0.339,2.915,1.591,2.162,16.796,0.414,CFIS
1999,29.961,0.022,0.898,1.775,2.747,6.563,0.034,CFIS
2000,10.812,0.082,0.841,1.998,2.356,4.57,0.347,CFIS
2001,13.387,0.001,0.795,2.638,3.123,2.975,0.108,CFIS
2002,9.306,0,0.781,1.183,1.384,2.162,0.013,CFIS
2003,1.974,0,0.161,0.355,1.478,2.747,0,CFIS
2004,1.632,0,0.364,0.624,0.864,2.356,0,CFIS
2005,1.238,0,0.235,0.696,0.273,3.123,0.002,CFIS
2006,0.685,0.003,0.171,0.441,0.184,1.384,0,CFIS
2007,1.752,0,0.145,0.212,1.053,1.478,0,CFIS
2008,2.346,0.003,0.115,0.279,0.426,0.864,0,CFIS
2009,2.766,0,0.204,0.134,0.83,0.273,0,CFIS
2010,2.85,0,0.142,0.144,0.128,0.184,0,CFIS
2011,2.909,0,0.332,0.242,0.126,1.053,0,CFIS
2012,3.099,0.02,0.101,0.178,0.131,0.426,0.002,CFIS
2013,1.663,0.001,0.065,0.137,,0.83,0.02,CFIS
2014,0.978,0,0.047,0.036,,0.128,0,CFIS
2015,2.031,0,0.181,0.034,,0.126,0,CFIS
2016,2.265,0,0.052,0.004,,0.131,0.005,CFIS
TOTAL,2638.694,93.945,30.602,69.177,121.974,472.15,14.071,
